timestamp,face_id,emotion,confidence
2025-06-06 20:32:44,2,angry,88.26
2025-06-06 20:32:44,1,angry,84.89
2025-06-06 20:32:44,1,angry,83.60
2025-06-06 20:32:45,1,angry,86.64
2025-06-06 20:32:45,1,angry,81.98
2025-06-06 20:32:45,1,angry,84.03
2025-06-06 20:32:45,1,happy,99.03
2025-06-06 20:32:45,1,happy,98.76
2025-06-06 20:32:45,1,happy,100.00
2025-06-06 20:32:46,1,happy,99.97
2025-06-06 20:32:46,1,happy,49.44
2025-06-06 20:32:46,1,happy,98.03
2025-06-06 20:32:46,1,happy,99.97
2025-06-06 20:32:46,1,happy,100.00
2025-06-06 20:32:46,1,happy,100.00
2025-06-06 20:32:46,1,happy,100.00
2025-06-06 20:32:47,1,happy,100.00
2025-06-06 20:32:47,1,happy,100.00
2025-06-06 20:32:47,1,happy,100.00
2025-06-06 20:32:47,1,happy,100.00
2025-06-06 20:32:47,1,happy,100.00
2025-06-06 20:32:47,1,happy,100.00
2025-06-06 20:32:47,1,happy,99.83
2025-06-06 20:32:48,1,happy,99.11
2025-06-06 20:32:48,1,happy,98.73
2025-06-06 20:32:48,1,happy,99.82
2025-06-06 20:32:48,1,happy,99.57
2025-06-06 20:32:48,1,happy,99.26
2025-06-06 20:32:48,1,happy,73.33
2025-06-06 20:32:48,1,happy,98.90
2025-06-06 20:32:48,1,happy,50.87
2025-06-06 20:32:49,1,happy,70.88
2025-06-06 20:32:49,1,happy,99.66
2025-06-06 20:32:49,1,happy,65.38
2025-06-06 20:32:49,1,happy,98.89
2025-06-06 20:32:49,1,happy,99.41
2025-06-06 20:32:49,1,angry,94.86
2025-06-06 20:32:49,2,happy,99.50
2025-06-06 20:32:50,1,angry,56.83
2025-06-06 20:32:50,2,happy,99.81
2025-06-06 20:32:50,1,sad,38.66
2025-06-06 20:32:50,2,happy,99.74
2025-06-06 20:32:50,1,angry,51.82
2025-06-06 20:32:50,2,fear,71.69
2025-06-06 20:32:50,1,angry,47.81
2025-06-06 20:32:50,2,sad,60.48
2025-06-06 20:32:51,1,neutral,42.08
2025-06-06 20:32:51,2,happy,73.56
